rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Michigan,Michigan 🔥,21.6564979103557,19.1026879594454,40.759185869801,55.55342922211,28.1156331985955,1,3,72.2229918,19,1,112,1,1.19354838709677,0.0967741935483871,1.09677419354839,37,3,29,2,#FF9D23,#FFA22E,#FF9D23,#BC2A52,#F5C39B,Michigan plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Michigan plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Duke,Duke 🔥🤕,20.4298333727103,20.116499859332,40.5463332320423,8.59101286554598,-31.2214845699252,3,1,67.16348525,269,2,295,2,1.09677419354839,0.193548387096774,0.903225806451613,34,6,29,2,#FFA32F,#FF9D23,#FF9E24,#FFDDC7,#B0C6C1,Duke performs at a similar level against both good and bad teams.,Duke plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
3,Arizona,Arizona 🔒,17.5480457385933,19.1645492894122,36.7125950280055,62.3267132859725,0.451277644680178,6,2,71.75487675,24,3,31,6,1.03225806451613,0.032258064516129,1,32,1,29,2,#FFB04D,#FFA22D,#FFA739,#A61345,#EFE6BB,Arizona plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Arizona performs at a similar level regardless of the pace of the game.
4,Florida,Florida 🔥,18.775585760973,17.6609756320086,36.4365613929817,44.8272884109735,11.05680085669,5,4,71.8280606,23,4,290,3,0.967741935483871,0.0967741935483871,0.870967741935484,30,3,25,6,#FFAA40,#FFA93E,#FFA83A,#DE4E66,#F1D8AF,Florida plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Florida performs at a similar level regardless of the pace of the game.
5,Houston,Houston,14.5608302173333,16.6358694706,31.1966996879333,-19.7000973787846,-11.4809437652769,14,5,65.00124435,356,5,34,7,1.12903225806452,0.354838709677419,0.774193548387097,35,11,26,5,#FFBD6B,#FFAE49,#FFB456,#A3CDD4,#D7DBBD,Houston plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Houston performs at a similar level regardless of the pace of the game.
6,Connecticut,Connecticut,16.80363808468,14.0021122882315,30.8057503729115,55.8974921040821,-45.9215275464744,8,9,65.84530045,331,6,208,8,0.580645161290323,0.193548387096774,0.387096774193548,18,6,27,4,#FFB354,#FFBB66,#FFB559,#BB2951,#92B7C3,Connecticut plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Connecticut plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
7,Illinois,Illinois,20.0795305766,10.0983544030267,30.1778849796267,-40.2148497116319,-1.53904853803214,4,19,66.989178,280,7,221,5,1.09677419354839,0.193548387096774,0.903225806451613,34,6,24,7,#FFA533,#FFCE90,#FFB75C,#6693BF,#EBE5BC,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois performs at a similar level regardless of the pace of the game.
8,Purdue,Purdue,20.7032408803333,7.34493301205467,28.048173892388,-25.4260906247948,23.2610586906925,2,37,65.9009085,328,8,286,4,0.903225806451613,0.483870967741935,0.419354838709677,28,15,23,8,#FFA22D,#FFDBAE,#FFBC67,#8DBDCF,#F4C9A0,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
9,Michigan State,Michigan State,13.2320209887556,13.5374156504219,26.7694366391775,42.88394124789,-60.1663266758728,19,12,67.1513917,271,9,70,16,0.67741935483871,0.193548387096774,0.483870967741935,21,6,25,6,#FFC378,#FFBD6B,#FFBF6E,#E0566B,#76A9C6,Michigan State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Michigan State plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
10,Gonzaga,Gonzaga 📉🤕,12.0310086728693,14.4244261180677,26.455434790937,-31.5265098814356,6.58132958364375,26,7,70.4294011,70,11,89,11,1.09090909090909,0.363636363636364,0.727272727272727,36,12,30,3,#FFC985,#FFB961,#FFC070,#7DACC9,#F0DEB4,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
