Team,Odds
Michigan Wolverines,340
Duke Blue Devils,360
Arizona Wildcats,550
Florida Gators,700
Houston Cougars,1000
Illinois Fighting Illini,1800
UConn Huskies,1800
Iowa State Cyclones,2200
Purdue Boilermakers,2500
Gonzaga Bulldogs,4000
Arkansas Razorbacks,5000
Michigan St Spartans,5000
St. John's Red Storm,5000
Alabama Crimson Tide,5000
Tennessee Volunteers,6000
Kansas Jayhawks,6000
Kentucky Wildcats,8000
Louisville Cardinals,8000
Nebraska Cornhuskers,8000
Virginia Cavaliers,8000
Texas Tech Red Raiders,10000
Vanderbilt Commodores,10000
Wisconsin Badgers,12500
North Carolina Tar Heels,12500
Iowa Hawkeyes,15000
BYU Cougars,15000
Saint Louis Billikens,15000
Miami Hurricanes,20000
Missouri Tigers,20000
NC State Wolfpack,20000
Saint Mary's Gaels,20000
Texas A&M Aggies,20000
Clemson Tigers,25000
UCLA Bruins,25000
Villanova Wildcats,25000
Texas Longhorns,25000
SMU Mustangs,30000
UCF Knights,30000
Utah State Aggies,30000
McNeese Cowboys,50000
Ohio State Buckeyes,50000
TCU Horned Frogs,50000
High Point Panthers,50000
Indiana Hoosiers,50000
Georgia Bulldogs,50000
Yale Bulldogs,50000
San Diego St Aztecs,50000
Auburn Tigers,50000
West Virginia Mountaineers,50000
Santa Clara Broncos,50000
VCU Rams,50000
New Mexico Lobos,50000
Liberty Flames,50000
UC Irvine Anteaters,50000
Miami (OH) RedHawks,50000
