Team1,Team2
Minnesota,Missouri
North Texas,Oregon St.
UC San Diego,Fresno St.
James Madison,Longwood
Saint Joseph's,Virginia Tech
Southern Illinois,Nevada
Middle Tennessee,Evansville
Idaho,San Diego
UTSA,Texas St.
Eastern Washington,Seattle
Manhattan,Utah Tech
Purdue Fort Wayne,Western Michigan
Siena,St. Bonaventure
Nicholls,Valparaiso
Brown,Boston University
Dartmouth,Bryant
Samford,Texas Southern
Southern Indiana,South Dakota
Mercyhurst,Canisius
Tulsa,Oral Roberts
Portland St.,San Francisco
Long Beach St.,Pacific
Elon,Marshall
Northern Kentucky,East Tennessee St.
South Dakota St.,Oregon
Little Rock,Marquette
Montana St.,Stanford
Milwaukee,Indiana
Cal Poly,Colorado St.
Oakland,Houston
Eastern Kentucky,Vanderbilt
Presbyterian,South Carolina
Tennessee Martin,Bradley
American,George Washington
UNC Greensboro,N.C. State
Weber St.,Utah St.
Saint Peter's,VCU
Prairie View A&M,Oklahoma St.
Binghamton,Georgetown
North Florida,Tennessee
Fairleigh Dickinson,Texas
Coppin St.,South Florida
Mississippi Valley St.,Hawaii
Penn St. Shenango,Akron
Webster,Southeast Missouri
Hanover,Bellarmine
Bluefield St.,North Carolina Central
Virginia Lynchburg,VMI
Westminster UT,Utah Valley
Bob Jones,USC Upstate
Point,Kennesaw St.
Vassar,Marist
St. Scholastica,North Dakota St.
Emmanuel,New Hampshire
