Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
14 Illinois vs.  13 Connecticut,Connecticut 78-76 (57%) [69],12:30 pm FOX,"New York, NY Madison Square Garden",85.41,,
44 SMU at  79 Mississippi St.,SMU 82-81 (51%) [73],7:00 pm SEC Network Plus,"Starkville, MS Humphrey Coliseum",68.72,,
68 Texas A&M vs.  56 Florida St.,Florida St. 83-82 (54%) [77],5:00 pm ESPN2,"Tampa, FL Benchmark International Arena",68.13,,
63 Oklahoma vs.  78 Marquette,Marquette 81-80 (51%) [72],2:00 pm NBC,"Chicago, IL Credit Union 1 Arena",65.14,,
31 Ohio St. at  98 Pittsburgh,Ohio St. 76-71 (67%) [67],7:00 pm ESPN,"Pittsburgh, PA Petersen Events Center",61.95,,
102 Georgia Tech vs.  112 DePaul,Georgia Tech 72-71 (55%) [72],7:00 pm CBS Sports Network,"Niceville, FL Raider Arena",51.06,,
153 North Dakota St. at  174 Arkansas St.,Arkansas St. 78-77 (55%) [73],3:00 pm ESPN+,"Jonesboro, AR First National Bank Arena",39.37,,
159 Sam Houston St. vs.  195 Idaho,Sam Houston St. 78-77 (51%) [70],9:00 pm ESPN+,"Boise, ID Idaho Central Arena",38.88,,
146 Navy at  114 UNC Wilmington,UNC Wilmington 75-69 (70%) [66],3:00 pm FloSports,"Wilmington, NC Trask Coliseum",37.09,,
141 Drake vs.  37 LSU,LSU 81-70 (85%) [69],9:30 pm CBS Sports Network,"Niceville, FL Raider Arena",36.21,,
156 Hofstra vs.  230 La Salle,Hofstra 72-70 (57%) [67],2:00 pm ESPN+,"Philadelphia, PA Palestra",35.211,,
213 CSUN vs.  229 Idaho St.,Idaho St. 76-75 (52%) [70],6:30 pm ESPN+,"Boise, ID Idaho Central Arena",34.612,,
200 Texas St. vs.  111 Seattle,Seattle 72-66 (71%) [68],2:00 pm FloSports,"Las Vegas, NV Resorts World Events Center",34.413,,
171 Siena vs.  263 Longwood,Siena 77-72 (65%) [69],1:00 pm ESPN+,"Washington, DC Bender Arena",31.714,,
262 Merrimack at  211 Penn,Penn 79-75 (66%) [70],4:30 pm ESPN+,"Philadelphia, PA Palestra",30.515,,
290 Ball St. vs.  207 Monmouth,Monmouth 72-68 (64%) [67],2:00 pm ESPN+,"Easton, PA Kirby Sports Center",29.516,,
332 Le Moyne at  331 Lafayette,Lafayette 78-75 (58%) [69],4:30 pm ESPN+,"Easton, PA Kirby Sports Center",29.017,,
