Date,Team1,Team2,Prediction,Spread
2026-03-01,7 Purdue at 38 Ohio St. B10,1:30 pm CBS,"Columbus, OH
Schottenstein Center",80.01
2026-03-01,10 Michigan St. at 42 Indiana B10,3:45 pm CBS,"Bloomington, IN
Assembly Hall",77.92
2026-03-01,55 Belmont at 98 Illinois St. MVC,5:00 pm CBS Sports Network,"Normal, IL
CEFCU Arena",61.23
2026-03-01,101 DePaul at 94 Marquette BE,4:00 pm FOX Sports 1,"Milwaukee, WI
Fiserv Forum",47.54
2026-03-01,115 Murray St. at 129 Bradley MVC,2:00 pm ESPN2,"Peoria, IL
Carver Arena",45.95
2026-03-01,86 Northern Iowa at 200 Drake MVC,3:00 pm ESPN+,"Des Moines, IA
Knapp Center",40.46
2026-03-01,105 Illinois Chicago at 218 Indiana St. MVC,1:00 pm ESPN+,"Terre Haute, IN
Hulman Center",39.27
2026-03-01,142 North Texas at 120 UAB Amer,12:00 pm ESPNU,"Birmingham, AL
Bartow Arena",38.28
2026-03-01,151 Rutgers at 125 Maryland B10,12:00 pm FOX Sports 1,"College Park, MD
Xfinity Center",37.29
2026-03-01,156 Charleston at 103 UNC Wilmington CAA,7:00 pm CBS Sports Network,"Wilmington, NC
Trask Coliseum",36.310
2026-03-01,189 Charlotte at 122 Florida Atlantic Amer,2:00 pm ESPN+,"Boca Raton, FL
Baldwin Arena",33.011
2026-03-01,118 Memphis at 263 East Carolina Amer,2:00 pm ESPN+,"Greenville, NC
Williams Arena at Minges Colis",31.812
2026-03-01,237 Rice at 169 Temple Amer,2:00 pm ESPN+,"Philadelphia, PA
Liacouras Center",29.013
2026-03-01,250 Iona at 330 Manhattan MAAC,2:00 pm ESPN+,"Riverdale, NY
Draddy Gymnasium",28.014
2026-03-01,252 Saint Peter's at 193 Marist MAAC,2:00 pm ESPNU,"Poughkeepsie, NY
McCann Center",27.615
2026-03-01,289 Mount St. Mary's at 255 Fairfield MAAC,2:00 pm ESPN+,"Fairfield, CT
Mahoney Arena",27.316
2026-03-01,117 Southern Illinois at 306 Evansville MVC,4:00 pm ESPN+,"Evansville, IN
Ford Center",24.917
2026-03-01,229 La Salle at 106 Davidson A10,12:00 pm USA Network,"Davidson, NC
Belk Arena",23.818
2026-03-01,191 Tulane at 54 South Florida Amer,12:00 pm ESPN2,"Tampa, FL
Yuengling Center",23.319
2026-03-01,214 Quinnipiac at 345 Canisius MAAC,1:00 pm ESPN+,"Buffalo, NY
Koessler Athletic Center",21.120
2026-03-01,173 Merrimack at 340 Niagara MAAC,2:00 pm ESPN+,"Niagara, NY
Gallagher Center",20.621
2026-03-01,90 Wichita St. at 338 UTSA Amer,8:00 pm ESPN+,"San Antonio, TX
UTSA Convocation Center",13.622
2026-03-01,357 Rider at 201 Siena MAAC,2:00 pm ESPN+,"Albany, NY
MVP Arena",10.123
