current_team,logo
Abilene Christian,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2000.png&h=200&w=200
Air Force,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png&h=200&w=200
Alabama St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2011.png&h=200&w=200
Albany,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png&h=200&w=200
Alcorn St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png&h=200&w=200
American,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/44.png&h=200&w=200
Appalachian St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona St.,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas Pine Bluff,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png&h=200&w=200
Arkansas St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Army,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Austin Peay,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png&h=200&w=200
Ball St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Bellarmine,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/91.png&h=200&w=200
Belmont,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2057.png&h=200&w=200
Bethune Cookman,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2065.png&h=200&w=200
Binghamton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2066.png&h=200&w=200
Boise St.,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Boston University,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/104.png&h=200&w=200
Bowling Green,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Bradley,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/71.png&h=200&w=200
Brown,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/225.png&h=200&w=200
Bryant,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2803.png&h=200&w=200
Bucknell,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2083.png&h=200&w=200
Buffalo,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Butler,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png&h=200&w=200
BYU,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Cal Baptist,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2856.png&h=200&w=200
Cal Poly,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png&h=200&w=200
Cal St. Bakersfield,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2934.png&h=200&w=200
Cal St. Fullerton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png&h=200&w=200
California,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Campbell,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png&h=200&w=200
Canisius,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2099.png&h=200&w=200
Central Arkansas,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png&h=200&w=200
Central Connecticut,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2115.png&h=200&w=200
Central Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charleston,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/232.png&h=200&w=200
Charleston Southern,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png&h=200&w=200
